Node,z_idx,f_z
1,9,39
2,0,1
3,3,144
4,8,171
5,3,74
6,8,82
7,4,143
8,2,90
9,8,146
10,2,64
11,2,61
12,2,99
13,8,58
14,0,13
15,5,53
16,4,48
17,4,116
18,2,43
19,3,147
20,8,124
21,2,128
22,3,130
23,7,150
24,4,139
25,8,148
26,5,123
27,4,163
28,4,87
29,4,81
30,2,29
31,4,145
32,2,31
33,3,165
34,3,72
35,8,149
36,7,7
37,4,134
38,2,37
39,5,66
40,0,78
41,9,20
42,5,151
43,5,94
44,0,17
45,6,120
46,4,9
47,6,97
48,8,112
49,0,156
50,7,111
51,5,98
52,6,10
53,8,107
54,0,157
55,9,11
56,8,162
57,2,56
58,3,57
59,0,102
60,4,101
61,5,106
62,0,108
63,9,109
64,7,154
65,0,119
66,6,18
67,2,21
68,3,67
69,3,68
70,4,137
71,3,70
72,7,164
73,2,33
74,4,32
75,0,4
76,3,75
77,4,2
78,4,80
79,2,85
80,5,170
81,3,77
82,1,76
83,0,73
84,4,83
85,5,6
86,3,15
87,6,16
88,1,23
89,9,177
90,8,26
91,0,69
92,9,27
93,8,28
94,8,30
95,2,142
96,8,140
97,8,136
98,2,36
99,2,132
100,0,174
101,4,100
102,3,59
103,3,175
104,4,103
105,8,45
106,5,118
107,3,114
108,2,122
109,3,176
110,3,50
111,6,133
112,2,84
113,2,172
114,6,25
115,4,180
116,8,14
117,0,38
118,8,79
119,4,105
120,3,155
121,2,60
122,6,41
123,5,141
124,1,42
125,0,121
126,9,86
127,9,44
128,8,153
129,0,181
130,6,129
131,0,46
132,6,131
133,4,113
134,5,110
135,2,51
136,9,173
137,4,65
138,3,182
139,7,138
140,0,49
141,4,160
142,5,35
143,4,159
144,0,158
145,0,152
146,2,63
147,0,22
148,0,178
149,0,71
150,2,24
151,0,89
152,2,19
153,7,92
154,6,127
155,3,55
156,5,104
157,2,117
158,2,115
159,7,93
160,7,96
161,7,95
162,9,47
163,2,12
164,1,8
165,3,34
166,2,5
167,8,166
168,8,167
169,9,3
170,9,52
171,4,169
172,0,168
173,5,161
174,6,135
175,4,126
176,4,125
177,5,0
178,4,88
179,7,62
180,9,179
181,5,54
182,6,40
183,6,91
