Node,z_idx,f_z
1,2,182
2,8,162
3,5,131
4,1,126
5,7,110
6,5,96
7,8,65
8,8,46
9,5,44
10,8,10
11,0,91
12,8,88
13,1,12
14,3,56
15,2,70
16,7,3
17,8,166
18,8,102
19,2,108
20,3,20
21,1,122
22,5,117
23,5,18
24,7,179
25,3,155
26,6,98
27,7,92
28,7,0
29,7,180
30,8,72
31,4,14
32,2,31
33,9,176
34,8,69
35,5,64
36,5,60
37,7,58
38,2,37
39,2,38
40,3,133
41,3,51
42,5,47
43,2,42
44,3,43
45,0,146
46,7,13
47,0,172
48,2,130
49,3,48
50,5,143
51,9,171
52,2,40
53,5,125
54,3,53
55,9,124
56,8,82
57,1,39
58,5,19
59,2,161
60,7,144
61,2,115
62,3,61
63,3,62
64,5,89
65,2,90
66,0,93
67,6,147
68,6,139
69,6,74
70,2,104
71,1,95
72,5,24
73,2,99
74,8,30
75,3,150
76,4,106
77,9,94
78,7,109
79,8,75
80,9,163
81,5,113
82,8,119
83,3,169
84,8,85
85,5,84
86,4,160
87,6,142
88,9,159
89,1,134
90,3,80
91,3,2
92,1,158
93,2,8
94,3,41
95,4,49
96,3,167
97,0,5
98,9,127
99,2,52
100,4,57
101,8,71
102,8,153
103,1,21
104,9,35
105,3,63
106,9,34
107,4,22
108,8,66
109,1,67
110,4,168
111,0,138
112,8,68
113,8,145
114,4,173
115,6,114
116,3,151
117,9,141
118,2,86
119,7,165
120,4,129
121,6,120
122,6,121
123,2,177
124,6,123
125,3,157
126,3,25
127,0,15
128,5,170
129,9,28
130,6,36
131,3,77
132,0,118
133,7,132
134,2,45
135,5,27
136,8,23
137,9,59
138,9,140
139,6,4
140,3,26
141,7,11
142,6,1
143,5,135
144,3,181
145,3,16
146,6,112
147,3,111
148,3,107
149,8,148
150,8,149
151,4,17
152,6,29
153,9,174
154,5,101
155,9,33
156,2,100
157,8,156
158,6,7
159,5,9
160,5,55
161,5,83
162,3,81
163,0,6
164,4,73
165,8,164
166,6,78
167,1,76
168,5,79
169,6,136
170,4,87
171,7,54
172,3,50
173,3,137
174,6,154
175,8,152
176,9,175
177,2,32
178,6,103
179,9,178
180,2,105
181,2,116
182,8,128
183,0,97
