Node,z_idx,f_z
1,2,86
2,3,57
3,3,58
4,3,14
5,4,13
6,4,85
7,4,22
8,4,87
9,4,88
10,4,16
11,4,15
12,0,11
13,0,12
14,0,75
15,0,74
16,0,0
17,0,81
18,3,82
19,3,83
20,8,84
21,8,69
22,8,70
23,0,80
24,7,1
25,8,2
26,8,18
27,8,17
28,8,3
29,6,5
30,4,29
31,7,4
32,7,6
33,7,10
34,8,7
35,8,9
36,8,8
37,8,63
38,9,62
39,9,65
40,6,67
41,7,45
42,7,44
43,7,51
44,7,98
45,5,97
46,5,96
47,6,46
48,6,47
49,6,48
50,6,49
51,6,50
52,6,95
53,6,52
54,6,53
55,6,54
56,6,55
57,6,56
58,0,39
59,0,94
60,8,91
61,8,90
62,7,28
63,5,71
64,5,72
65,7,64
66,5,100
67,8,99
68,5,43
69,9,41
70,2,40
71,2,32
72,6,42
73,7,23
74,7,73
75,1,31
76,1,30
77,7,76
78,7,77
79,7,78
80,7,79
81,2,61
82,2,27
83,2,26
84,2,25
85,2,24
86,0,36
87,0,21
88,0,20
89,0,19
90,8,89
91,6,60
92,6,59
93,9,101
94,9,35
95,6,66
96,6,34
97,6,33
98,6,68
99,6,37
100,7,38
101,7,93
102,8,92
