Node,z_idx,f_z
1,0,0
2,2,44
3,2,43
4,4,68
5,6,69
6,4,70
7,6,72
8,4,82
9,8,28
10,6,24
11,5,23
12,8,94
13,4,22
14,6,21
15,6,26
16,6,71
17,6,90
18,9,1
19,3,91
20,8,2
21,3,92
22,0,20
23,0,37
24,0,98
25,0,96
26,3,25
27,1,18
28,3,27
29,0,99
30,7,7
31,9,3
32,9,48
33,8,89
34,7,5
35,9,12
36,9,73
37,5,36
38,3,97
39,5,38
40,6,66
41,7,54
42,7,53
43,9,10
44,0,83
45,0,85
46,5,45
47,8,50
48,8,74
49,4,4
50,6,49
51,6,6
52,6,51
53,9,9
54,5,93
55,5,13
56,6,55
57,7,14
58,7,15
59,7,16
60,7,88
61,7,87
62,7,79
63,7,100
64,7,39
65,9,29
66,8,41
67,5,63
68,8,40
69,0,56
70,0,57
71,0,33
72,1,58
73,0,59
74,5,60
75,6,62
76,9,84
77,9,61
78,9,47
79,9,32
80,6,46
81,9,8
82,9,11
83,0,65
84,5,19
85,7,67
86,5,86
87,8,17
88,6,30
89,6,31
90,4,78
91,2,34
92,2,35
93,2,75
94,6,77
95,0,81
96,9,95
97,3,52
98,5,80
99,3,76
100,3,42
101,6,64
