Node,CommunityMembership
1,8
2,4
3,6
4,8
5,4
6,8
7,5
8,1
9,4
10,4
11,1
12,1
13,1
14,5
15,8
16,8
17,8
18,8
19,6
20,8
21,3
22,10
23,4
24,8
25,4
26,8
27,1
28,4
29,8
30,4
31,4
32,1
33,1
34,1
35,1
36,8
37,2
38,2
39,4
40,8
41,5
42,4
43,7
44,4
45,8
46,4
47,9
48,4
49,4
50,4
51,4
52,3
53,1
54,5
55,2
56,2
57,2
58,2
59,1
60,4
61,4
62,1
63,4
64,1
65,4
66,4
67,2
68,2
69,2
70,2
71,2
72,5
73,2
74,8
75,8
76,2
77,2
78,4
79,2
80,2
81,2
82,4
83,3
84,5
85,4
86,4
87,2
88,2
89,5
90,5
91,2
92,8
93,8
94,5
95,10
96,10
97,5
98,4
99,5
100,2
101,4
102,2
103,1
104,5
105,7
106,6
107,4
108,1
109,4
110,8
111,10
112,4
113,7
114,2
115,2
116,4
117,8
118,7
119,10
120,2
121,5
122,1
123,1
124,2
125,4
126,10
127,1
128,2
129,1
130,1
131,5
132,5
133,8
134,4
135,6
136,7
137,5
138,8
139,8
140,2
141,2
142,4
143,2
144,4
145,4
146,10
147,4
