Node,z_idx,f_z
1,4,75
2,3,74
3,1,79
4,3,81
5,4,82
6,4,114
7,4,37
8,4,34
9,4,31
10,1,102
11,2,23
12,1,106
13,1,17
14,1,107
15,3,97
16,4,93
17,4,13
18,0,12
19,4,11
20,3,73
21,1,20
22,4,70
23,4,69
24,0,65
25,4,9
26,1,25
27,2,64
28,2,63
29,1,28
30,3,2
31,1,30
32,0,61
33,1,32
34,1,33
35,0,112
36,4,100
37,4,60
38,0,57
39,4,56
40,4,55
41,3,54
42,1,41
43,1,42
44,1,43
45,1,44
46,4,53
47,4,91
48,4,90
49,4,52
50,4,83
51,4,116
52,4,59
53,1,26
54,1,105
55,1,10
56,1,27
57,1,58
58,1,113
59,2,14
60,2,80
61,1,98
62,1,110
63,4,29
64,1,94
65,1,85
66,1,40
67,4,78
68,4,77
69,4,76
70,1,103
71,1,3
72,3,71
73,3,72
74,1,19
75,0,1
76,0,108
77,3,68
78,3,67
79,3,66
80,0,62
81,3,0
82,0,51
83,0,50
84,1,49
85,4,84
86,3,48
87,4,86
88,4,87
89,4,88
90,4,89
91,1,47
92,1,46
93,4,92
94,1,45
95,3,39
96,4,95
97,4,96
98,1,38
99,3,36
100,4,99
101,1,35
102,4,101
103,0,24
104,3,22
105,4,104
106,2,21
107,0,18
108,0,16
109,3,15
110,4,109
111,3,8
112,4,111
113,1,7
114,2,6
115,0,5
116,4,115
117,1,4
118,4,117
