Node,z_idx,f_z
1,0,0
2,6,142
3,5,136
4,5,132
5,1,114
6,5,163
7,1,103
8,6,170
9,5,87
10,6,83
11,6,174
12,6,59
13,5,175
14,4,177
15,7,181
16,1,30
17,1,27
18,6,76
19,5,73
20,4,69
21,6,100
22,5,6
23,2,4
24,1,23
25,4,118
26,1,25
27,1,26
28,0,16
29,1,28
30,6,45
31,0,15
32,7,36
33,5,140
34,6,84
35,5,22
36,2,35
37,1,81
38,6,49
39,9,130
40,4,90
41,8,166
42,9,179
43,9,178
44,4,85
45,8,148
46,1,50
47,5,160
48,5,173
49,4,79
50,2,48
51,2,125
52,8,143
53,5,126
54,4,53
55,8,24
56,6,117
57,6,116
58,5,115
59,4,58
60,0,144
61,7,161
62,4,61
63,8,105
64,6,104
65,4,64
66,8,147
67,6,13
68,5,150
69,5,99
70,1,19
71,5,97
72,6,95
73,6,93
74,1,43
75,4,74
76,5,128
77,1,39
78,9,172
79,6,89
80,3,139
81,9,171
82,2,146
83,4,82
84,0,124
85,2,18
86,2,12
87,7,21
88,0,8
89,8,32
90,4,153
91,2,34
92,8,75
93,7,2
94,4,3
95,7,131
96,4,127
97,7,46
98,4,70
99,7,47
100,4,68
101,1,67
102,5,101
103,5,102
104,0,123
105,4,52
106,4,121
107,9,119
108,8,5
109,8,57
110,5,109
111,8,9
112,6,111
113,6,112
114,6,113
115,0,11
116,4,162
117,4,56
118,4,55
119,1,20
120,5,165
121,6,120
122,5,10
123,9,63
124,5,66
125,4,176
126,4,149
127,4,29
128,5,71
129,4,145
130,8,159
131,2,7
132,5,151
133,0,72
134,7,33
135,9,158
136,8,157
137,0,1
138,9,156
139,9,78
140,4,37
141,1,17
142,9,155
143,0,92
144,4,133
145,4,14
146,6,180
147,4,31
148,4,96
149,2,86
150,6,98
151,4,60
152,6,94
153,9,91
154,5,168
155,9,40
156,7,44
157,6,51
158,6,135
159,6,54
160,6,129
161,2,62
162,4,110
163,6,108
164,0,107
165,9,65
166,6,88
167,2,169
168,8,167
169,8,182
170,8,152
171,0,106
172,4,80
173,4,77
174,3,164
175,0,122
176,0,134
177,6,137
178,0,138
179,2,42
180,2,41
181,7,154
182,0,38
183,8,141
